head,relation,tail,evidence
艾伦·图灵,出生地,英国伦敦,艾伦·麦席森·图灵（Alan Mathison Turing）1912年出生于英国伦敦，是英国数学家、逻辑学家和密码分析学家，后来被称为计算机科学之父和人工智能之父。
艾伦·图灵,就读于,谢伯恩学校,图灵早年就读于谢伯恩学校，1931年进入剑桥大学国王学院学习数学，并在1934年以优异成绩毕业。
艾伦·图灵,就读于,剑桥大学国王学院,图灵早年就读于谢伯恩学校，1931年进入剑桥大学国王学院学习数学，并在1934年以优异成绩毕业。
艾伦·图灵,毕业院校,剑桥大学国王学院,图灵早年就读于谢伯恩学校，1931年进入剑桥大学国王学院学习数学，并在1934年以优异成绩毕业。
艾伦·图灵,发表作品,《论可计算数及其在判定问题上的应用》,1936年，艾伦·图灵发表论文《论可计算数及其在判定问题上的应用》，提出图灵机模型，为可计算性理论和现代计算机奠定了基础。
艾伦·图灵,提出概念,图灵机,1936年，艾伦·图灵发表论文《论可计算数及其在判定问题上的应用》，提出图灵机模型，为可计算性理论和现代计算机奠定了基础。
艾伦·图灵,推动领域,可计算性理论,1936年，艾伦·图灵发表论文《论可计算数及其在判定问题上的应用》，提出图灵机模型，为可计算性理论和现代计算机奠定了基础。
艾伦·图灵,攻读博士于,普林斯顿大学,1936年至1938年，图灵在普林斯顿大学攻读博士学位，研究数理逻辑，他的博士导师是阿隆佐·邱奇。
艾伦·图灵,研究领域,数理逻辑,1936年至1938年，图灵在普林斯顿大学攻读博士学位，研究数理逻辑，他的博士导师是阿隆佐·邱奇。
艾伦·图灵,博士导师,阿隆佐·邱奇,1936年至1938年，图灵在普林斯顿大学攻读博士学位，研究数理逻辑，他的博士导师是阿隆佐·邱奇。
艾伦·图灵,参与事件,第二次世界大战,第二次世界大战期间，艾伦·图灵在英国政府密码学校和布莱切利园工作，参与破解德国恩尼格玛密码机，对盟军情报工作产生重要影响。
艾伦·图灵,工作于,英国政府密码学校,第二次世界大战期间，艾伦·图灵在英国政府密码学校和布莱切利园工作，参与破解德国恩尼格玛密码机，对盟军情报工作产生重要影响。
艾伦·图灵,工作于,布莱切利园,第二次世界大战期间，艾伦·图灵在英国政府密码学校和布莱切利园工作，参与破解德国恩尼格玛密码机，对盟军情报工作产生重要影响。
艾伦·图灵,破解对象,恩尼格玛密码机,第二次世界大战期间，艾伦·图灵在英国政府密码学校和布莱切利园工作，参与破解德国恩尼格玛密码机，对盟军情报工作产生重要影响。
艾伦·图灵,工作于,国家物理实验室,1945年以后，图灵先后在国家物理实验室和曼彻斯特大学工作，参与自动计算机和早期计算机程序设计研究。
艾伦·图灵,工作于,曼彻斯特大学,1945年以后，图灵先后在国家物理实验室和曼彻斯特大学工作，参与自动计算机和早期计算机程序设计研究。
艾伦·图灵,发表作品,《计算机器与智能》,1950年，图灵发表论文《计算机器与智能》，提出用于讨论机器智能的图灵测试，推动了人工智能研究的发展。
艾伦·图灵,提出概念,图灵测试,1950年，图灵发表论文《计算机器与智能》，提出用于讨论机器智能的图灵测试，推动了人工智能研究的发展。
艾伦·图灵,推动领域,人工智能,1950年，图灵发表论文《计算机器与智能》，提出用于讨论机器智能的图灵测试，推动了人工智能研究的发展。
艾伦·图灵,研究领域,人工智能,1950年，图灵发表论文《计算机器与智能》，提出用于讨论机器智能的图灵测试，推动了人工智能研究的发展。
艾伦·图灵,获得奖项,大英帝国勋章,1946年，艾伦·图灵因战时密码破译贡献获得大英帝国勋章。
美国计算机协会,设立奖项,图灵奖,1966年，美国计算机协会设立图灵奖，用来纪念图灵在计算机科学中的基础贡献。
图灵奖,纪念人物,艾伦·图灵,1966年，美国计算机协会设立图灵奖，用来纪念图灵在计算机科学中的基础贡献。
艾伦·图灵,逝世地,英国柴郡,1954年，图灵在英国柴郡逝世。
英国政府,公开道歉于,艾伦·图灵,后来，英国政府为图灵受到的不公正待遇公开道歉，英国女王伊丽莎白二世在2013年赦免了图灵。
英国女王伊丽莎白二世,赦免,艾伦·图灵,后来，英国政府为图灵受到的不公正待遇公开道歉，英国女王伊丽莎白二世在2013年赦免了图灵。
